Running BLAST for 0.015625 

['DATE:2016-03-20 10:18:11.121016', 'CPU:46.9', 'MEMORY:21429 MB']
['DATE:2016-03-20 10:19:12.180789', 'CPU:49.7', 'MEMORY:21445 MB']
['DATE:2016-03-20 10:20:13.240836', 'CPU:49.5', 'MEMORY:21452 MB']
['DATE:2016-03-20 10:21:14.304306', 'CPU:50.1', 'MEMORY:21460 MB']
['DATE:2016-03-20 10:22:15.367664', 'CPU:50.5', 'MEMORY:21464 MB']
['DATE:2016-03-20 10:23:16.431127', 'CPU:48.9', 'MEMORY:21468 MB']
['DATE:2016-03-20 10:24:17.494695', 'CPU:50.9', 'MEMORY:21474 MB']
['DATE:2016-03-20 10:25:18.556923', 'CPU:49.8', 'MEMORY:21483 MB']
['DATE:2016-03-20 10:26:19.616903', 'CPU:51.0', 'MEMORY:21486 MB']
['DATE:2016-03-20 10:27:20.676819', 'CPU:48.6', 'MEMORY:21493 MB']
['DATE:2016-03-20 10:28:21.736882', 'CPU:51.3', 'MEMORY:21499 MB']
['DATE:2016-03-20 10:29:22.800356', 'CPU:49.5', 'MEMORY:21501 MB']
['DATE:2016-03-20 10:30:23.860880', 'CPU:51.2', 'MEMORY:21505 MB']
['DATE:2016-03-20 10:31:24.920862', 'CPU:47.9', 'MEMORY:21509 MB']
['DATE:2016-03-20 10:32:25.980865', 'CPU:52.5', 'MEMORY:21513 MB']
['DATE:2016-03-20 10:33:27.044599', 'CPU:42.5', 'MEMORY:21475 MB']
['DATE:2016-03-20 10:34:28.108099', 'CPU:20.1', 'MEMORY:21991 MB']
['DATE:2016-03-20 10:35:29.171915', 'CPU:15.2', 'MEMORY:22576 MB']
['DATE:2016-03-20 10:36:30.235902', 'CPU:27.3', 'MEMORY:22683 MB']
['DATE:2016-03-20 10:37:31.298784', 'CPU:27.5', 'MEMORY:22653 MB']
['DATE:2016-03-20 10:38:32.362401', 'CPU:28.1', 'MEMORY:22366 MB']
['DATE:2016-03-20 10:39:33.425859', 'CPU:50.5', 'MEMORY:22151 MB']
['DATE:2016-03-20 10:40:34.488612', 'CPU:52.5', 'MEMORY:22167 MB']
['DATE:2016-03-20 10:41:35.549619', 'CPU:28.6', 'MEMORY:22138 MB']
['DATE:2016-03-20 10:42:36.612968', 'CPU:50.6', 'MEMORY:22215 MB']
['DATE:2016-03-20 10:43:37.672584', 'CPU:58.5', 'MEMORY:22250 MB']
['DATE:2016-03-20 10:44:38.732791', 'CPU:28.3', 'MEMORY:22198 MB']
['DATE:2016-03-20 10:45:39.796083', 'CPU:53.8', 'MEMORY:22357 MB']
['DATE:2016-03-20 10:46:40.859234', 'CPU:44.0', 'MEMORY:22335 MB']
['DATE:2016-03-20 10:47:41.922474', 'CPU:27.2', 'MEMORY:22350 MB']
['DATE:2016-03-20 10:48:42.984653', 'CPU:50.9', 'MEMORY:22485 MB']
['DATE:2016-03-20 10:49:44.048244', 'CPU:28.5', 'MEMORY:22434 MB']
['DATE:2016-03-20 10:50:45.110685', 'CPU:55.8', 'MEMORY:22520 MB']
['DATE:2016-03-20 10:51:46.173231', 'CPU:27.8', 'MEMORY:22496 MB']
['DATE:2016-03-20 10:52:47.236618', 'CPU:44.4', 'MEMORY:22684 MB']
['DATE:2016-03-20 10:53:48.300047', 'CPU:72.8', 'MEMORY:22681 MB']
['DATE:2016-03-20 10:54:49.363356', 'CPU:53.5', 'MEMORY:22697 MB']
['DATE:2016-03-20 10:55:50.424651', 'CPU:54.9', 'MEMORY:22760 MB']
['DATE:2016-03-20 10:56:51.487715', 'CPU:29.2', 'MEMORY:22690 MB']
['DATE:2016-03-20 10:57:52.549676', 'CPU:28.1', 'MEMORY:22739 MB']
['DATE:2016-03-20 10:58:53.612766', 'CPU:54.7', 'MEMORY:22793 MB']
['DATE:2016-03-20 10:59:54.677000', 'CPU:32.3', 'MEMORY:22730 MB']
['DATE:2016-03-20 11:00:55.740711', 'CPU:27.9', 'MEMORY:22762 MB']
['DATE:2016-03-20 11:01:56.800724', 'CPU:52.0', 'MEMORY:22837 MB']
['DATE:2016-03-20 11:02:57.861325', 'CPU:42.5', 'MEMORY:22828 MB']
['DATE:2016-03-20 11:03:58.920855', 'CPU:57.8', 'MEMORY:22903 MB']
['DATE:2016-03-20 11:04:59.980764', 'CPU:49.4', 'MEMORY:22880 MB']
