Running BLAST for 0.015625 

['DATE:2016-03-20 02:37:00.684420', 'CPU:20.2', 'MEMORY:71348 MB']
['DATE:2016-03-20 02:38:01.748044', 'CPU:19.8', 'MEMORY:71362 MB']
['DATE:2016-03-20 02:39:02.811645', 'CPU:21.5', 'MEMORY:71358 MB']
['DATE:2016-03-20 02:40:03.875774', 'CPU:22.7', 'MEMORY:71361 MB']
['DATE:2016-03-20 02:41:04.935342', 'CPU:20.7', 'MEMORY:71364 MB']
['DATE:2016-03-20 02:42:05.998883', 'CPU:20.7', 'MEMORY:71366 MB']
['DATE:2016-03-20 02:43:07.061973', 'CPU:22.1', 'MEMORY:71368 MB']
['DATE:2016-03-20 02:44:08.125619', 'CPU:20.7', 'MEMORY:71370 MB']
['DATE:2016-03-20 02:45:09.189589', 'CPU:21.7', 'MEMORY:71373 MB']
['DATE:2016-03-20 02:46:10.253717', 'CPU:21.4', 'MEMORY:71374 MB']
['DATE:2016-03-20 02:47:11.317821', 'CPU:20.6', 'MEMORY:71374 MB']
['DATE:2016-03-20 02:48:12.379268', 'CPU:21.3', 'MEMORY:71378 MB']
['DATE:2016-03-20 02:49:13.442975', 'CPU:19.9', 'MEMORY:71383 MB']
['DATE:2016-03-20 02:50:14.506861', 'CPU:19.8', 'MEMORY:71386 MB']
['DATE:2016-03-20 02:51:15.567477', 'CPU:21.3', 'MEMORY:71385 MB']
['DATE:2016-03-20 02:52:16.631362', 'CPU:12.5', 'MEMORY:71383 MB']
['DATE:2016-03-20 02:53:17.695071', 'CPU:2.7', 'MEMORY:71976 MB']
['DATE:2016-03-20 02:54:18.758753', 'CPU:2.8', 'MEMORY:72000 MB']
['DATE:2016-03-20 02:55:19.822753', 'CPU:14.1', 'MEMORY:72048 MB']
['DATE:2016-03-20 02:56:20.883405', 'CPU:16.8', 'MEMORY:72050 MB']
['DATE:2016-03-20 02:57:21.943835', 'CPU:14.4', 'MEMORY:71779 MB']
['DATE:2016-03-20 02:58:23.003386', 'CPU:15.6', 'MEMORY:71802 MB']
['DATE:2016-03-20 02:59:24.067446', 'CPU:14.6', 'MEMORY:71718 MB']
['DATE:2016-03-20 03:00:25.131589', 'CPU:15.7', 'MEMORY:71721 MB']
['DATE:2016-03-20 03:01:26.195571', 'CPU:14.1', 'MEMORY:71702 MB']
['DATE:2016-03-20 03:02:27.255980', 'CPU:20.8', 'MEMORY:71711 MB']
['DATE:2016-03-20 03:03:28.319571', 'CPU:14.4', 'MEMORY:71708 MB']
['DATE:2016-03-20 03:04:29.383520', 'CPU:15.9', 'MEMORY:71719 MB']
['DATE:2016-03-20 03:05:30.446620', 'CPU:15.7', 'MEMORY:71727 MB']
['DATE:2016-03-20 03:06:31.510583', 'CPU:16.1', 'MEMORY:71734 MB']
['DATE:2016-03-20 03:07:32.574543', 'CPU:15.7', 'MEMORY:71769 MB']
['DATE:2016-03-20 03:08:33.637424', 'CPU:15.9', 'MEMORY:71780 MB']
['DATE:2016-03-20 03:09:34.701634', 'CPU:15.4', 'MEMORY:71835 MB']
['DATE:2016-03-20 03:10:35.763781', 'CPU:15.3', 'MEMORY:71840 MB']
['DATE:2016-03-20 03:11:36.826897', 'CPU:2.8', 'MEMORY:71774 MB']
['DATE:2016-03-20 03:12:37.890938', 'CPU:16.2', 'MEMORY:71848 MB']
['DATE:2016-03-20 03:13:38.952121', 'CPU:17.4', 'MEMORY:71858 MB']
['DATE:2016-03-20 03:14:40.016154', 'CPU:15.7', 'MEMORY:71875 MB']
['DATE:2016-03-20 03:15:41.080077', 'CPU:16.0', 'MEMORY:71881 MB']
['DATE:2016-03-20 03:16:42.144125', 'CPU:15.3', 'MEMORY:71903 MB']
['DATE:2016-03-20 03:17:43.208254', 'CPU:15.7', 'MEMORY:71910 MB']
['DATE:2016-03-20 03:18:44.271762', 'CPU:16.3', 'MEMORY:71930 MB']
['DATE:2016-03-20 03:19:45.335802', 'CPU:13.8', 'MEMORY:71930 MB']
['DATE:2016-03-20 03:20:46.399324', 'CPU:14.8', 'MEMORY:71948 MB']
['DATE:2016-03-20 03:21:47.424112', 'CPU:24.8', 'MEMORY:71965 MB']
['DATE:2016-03-20 03:22:48.487410', 'CPU:15.5', 'MEMORY:71965 MB']
['DATE:2016-03-20 03:23:49.551566', 'CPU:15.9', 'MEMORY:71974 MB']
['DATE:2016-03-20 03:24:50.615003', 'CPU:14.7', 'MEMORY:71976 MB']
['DATE:2016-03-20 03:25:51.678946', 'CPU:15.7', 'MEMORY:71992 MB']
['DATE:2016-03-20 03:26:52.742992', 'CPU:15.5', 'MEMORY:72019 MB']
['DATE:2016-03-20 03:27:53.807010', 'CPU:15.4', 'MEMORY:72025 MB']
['DATE:2016-03-20 03:28:54.868026', 'CPU:15.7', 'MEMORY:72077 MB']
['DATE:2016-03-20 03:29:55.932026', 'CPU:15.7', 'MEMORY:72077 MB']
['DATE:2016-03-20 03:30:56.995779', 'CPU:3.1', 'MEMORY:72082 MB']
['DATE:2016-03-20 03:31:58.055273', 'CPU:14.5', 'MEMORY:72117 MB']
['DATE:2016-03-20 03:32:59.119183', 'CPU:18.7', 'MEMORY:72127 MB']
