Running BLAST for 0.015625 
DATE:2016-03-20 10:18:21.005392	CPU:19.3	MEMORY:6990 MB
DATE:2016-03-20 10:19:22.068540	CPU:21.2	MEMORY:7001 MB
DATE:2016-03-20 10:20:23.132077	CPU:21.2	MEMORY:7009 MB
DATE:2016-03-20 10:21:24.195725	CPU:21.4	MEMORY:7011 MB
DATE:2016-03-20 10:22:25.258779	CPU:21.3	MEMORY:7021 MB
DATE:2016-03-20 10:23:26.269152	CPU:21.7	MEMORY:7020 MB
DATE:2016-03-20 10:24:27.332174	CPU:22.5	MEMORY:7018 MB
DATE:2016-03-20 10:25:28.395371	CPU:21.5	MEMORY:7022 MB
DATE:2016-03-20 10:26:29.458892	CPU:21.9	MEMORY:7023 MB
DATE:2016-03-20 10:27:30.522520	CPU:21.3	MEMORY:7024 MB
DATE:2016-03-20 10:28:31.586753	CPU:21.5	MEMORY:7027 MB
DATE:2016-03-20 10:29:32.649601	CPU:20.6	MEMORY:7029 MB
DATE:2016-03-20 10:30:33.712557	CPU:20.9	MEMORY:7032 MB
DATE:2016-03-20 10:31:34.776031	CPU:23.9	MEMORY:7032 MB
DATE:2016-03-20 10:32:35.836524	CPU:14.0	MEMORY:6992 MB
DATE:2016-03-20 10:33:36.900208	CPU:1.3	MEMORY:7523 MB
DATE:2016-03-20 10:34:37.963335	CPU:1.3	MEMORY:7562 MB
DATE:2016-03-20 10:35:39.026875	CPU:14.4	MEMORY:7707 MB
DATE:2016-03-20 10:36:40.090118	CPU:26.4	MEMORY:7525 MB
DATE:2016-03-20 10:37:41.153337	CPU:16.3	MEMORY:7457 MB
DATE:2016-03-20 10:38:42.157011	CPU:1.3	MEMORY:7223 MB
DATE:2016-03-20 10:39:43.186420	CPU:16.8	MEMORY:7353 MB
DATE:2016-03-20 10:40:44.214372	CPU:19.8	MEMORY:7400 MB
DATE:2016-03-20 10:41:45.278507	CPU:16.1	MEMORY:7396 MB
DATE:2016-03-20 10:42:46.342276	CPU:15.1	MEMORY:7440 MB
DATE:2016-03-20 10:43:47.406390	CPU:15.9	MEMORY:7455 MB
DATE:2016-03-20 10:44:48.469160	CPU:15.9	MEMORY:7493 MB
DATE:2016-03-20 10:45:49.532936	CPU:16.3	MEMORY:7496 MB
DATE:2016-03-20 10:46:50.596484	CPU:16.1	MEMORY:7529 MB
DATE:2016-03-20 10:47:51.660008	CPU:17.2	MEMORY:7549 MB
DATE:2016-03-20 10:48:52.722663	CPU:16.1	MEMORY:7518 MB
DATE:2016-03-20 10:49:53.786684	CPU:16.3	MEMORY:7526 MB
DATE:2016-03-20 10:50:54.848552	CPU:7.4	MEMORY:7430 MB
DATE:2016-03-20 10:51:55.909159	CPU:17.4	MEMORY:7560 MB
DATE:2016-03-20 10:52:56.972876	CPU:17.5	MEMORY:7568 MB
DATE:2016-03-20 10:53:58.036873	CPU:17.0	MEMORY:7580 MB
DATE:2016-03-20 10:54:59.100607	CPU:17.3	MEMORY:7578 MB
DATE:2016-03-20 10:56:00.164651	CPU:15.2	MEMORY:7611 MB
