Running BLAST for 0.015625 

['DATE:2016-03-19 14:06:09.438382', 'CPU:99.9', 'MEMORY:7809 MB']
['DATE:2016-03-19 14:07:10.497950', 'CPU:99.7', 'MEMORY:7830 MB']
['DATE:2016-03-19 14:08:11.558005', 'CPU:99.8', 'MEMORY:7844 MB']
['DATE:2016-03-19 14:09:12.618032', 'CPU:99.9', 'MEMORY:7868 MB']
['DATE:2016-03-19 14:10:13.677964', 'CPU:99.7', 'MEMORY:7868 MB']
['DATE:2016-03-19 14:11:14.737902', 'CPU:100.0', 'MEMORY:7876 MB']
['DATE:2016-03-19 14:12:15.797904', 'CPU:99.9', 'MEMORY:7884 MB']
['DATE:2016-03-19 14:13:16.857790', 'CPU:99.9', 'MEMORY:7890 MB']
['DATE:2016-03-19 14:14:17.917932', 'CPU:99.9', 'MEMORY:7889 MB']
['DATE:2016-03-19 14:15:18.978736', 'CPU:99.7', 'MEMORY:7898 MB']
['DATE:2016-03-19 14:16:20.041935', 'CPU:99.8', 'MEMORY:7909 MB']
['DATE:2016-03-19 14:17:21.102103', 'CPU:99.6', 'MEMORY:8601 MB']
['DATE:2016-03-19 14:18:22.161938', 'CPU:99.3', 'MEMORY:8678 MB']
['DATE:2016-03-19 14:19:23.221928', 'CPU:99.5', 'MEMORY:8712 MB']
['DATE:2016-03-19 14:20:24.281958', 'CPU:99.7', 'MEMORY:8734 MB']
['DATE:2016-03-19 14:21:25.341832', 'CPU:99.8', 'MEMORY:8752 MB']
['DATE:2016-03-19 14:22:26.401867', 'CPU:99.8', 'MEMORY:8764 MB']
['DATE:2016-03-19 14:23:27.461927', 'CPU:99.8', 'MEMORY:8771 MB']
['DATE:2016-03-19 14:24:28.522002', 'CPU:99.7', 'MEMORY:8784 MB']
['DATE:2016-03-19 14:25:29.581873', 'CPU:99.7', 'MEMORY:8790 MB']
['DATE:2016-03-19 14:26:30.641895', 'CPU:99.8', 'MEMORY:8772 MB']
['DATE:2016-03-19 14:27:31.701856', 'CPU:99.7', 'MEMORY:8778 MB']
['DATE:2016-03-19 14:28:32.761958', 'CPU:99.9', 'MEMORY:8786 MB']
['DATE:2016-03-19 14:29:33.821920', 'CPU:99.7', 'MEMORY:8783 MB']
['DATE:2016-03-19 14:30:34.881927', 'CPU:99.7', 'MEMORY:8789 MB']
['DATE:2016-03-19 14:31:35.942062', 'CPU:99.8', 'MEMORY:8788 MB']
['DATE:2016-03-19 14:32:37.005601', 'CPU:99.7', 'MEMORY:8787 MB']
['DATE:2016-03-19 14:33:38.065964', 'CPU:99.8', 'MEMORY:8793 MB']
['DATE:2016-03-19 14:34:39.125950', 'CPU:99.8', 'MEMORY:8774 MB']
['DATE:2016-03-19 14:35:40.185934', 'CPU:99.8', 'MEMORY:8782 MB']
['DATE:2016-03-19 14:36:41.245912', 'CPU:99.8', 'MEMORY:8782 MB']
['DATE:2016-03-19 14:37:42.305911', 'CPU:99.8', 'MEMORY:8792 MB']
['DATE:2016-03-19 14:38:43.366234', 'CPU:99.7', 'MEMORY:8788 MB']
['DATE:2016-03-19 14:39:44.425895', 'CPU:99.9', 'MEMORY:8789 MB']
['DATE:2016-03-19 14:40:45.485989', 'CPU:99.8', 'MEMORY:8790 MB']
['DATE:2016-03-19 14:41:46.546218', 'CPU:99.7', 'MEMORY:8795 MB']
['DATE:2016-03-19 14:42:47.606048', 'CPU:99.7', 'MEMORY:8792 MB']
